event_id,event_key,name_zh,name_en,category,severity,description
1000,MOTION_DETECTION,移动侦测,Motion Detection,basic,warning,视频画面移动侦测报警
1001,VIDEO_LOST,视频丢失,Video Lost,basic,error,视频信号丢失报警
1002,VIDEO_TAMPER,视频遮挡,Video Tamper,basic,warning,视频遮挡/遮盖报警
1003,ALARM_INPUT,开关量输入,Alarm Input,basic,warning,外部开关量输入触发
1004,ALARM_OUTPUT,开关量输出,Alarm Output,basic,info,外部开关量输出触发
1005,AUDIO_LOST,音频丢失,Audio Lost,basic,warning,音频信号丢失报警
1006,DEVICE_EXCEPTION,设备异常,Device Exception,basic,error,设备异常报警
1007,RECORDING_ALARM,录像报警,Recording Alarm,basic,warning,录像状态异常报警
1008,UNIQUE_ALERT,特色警戒报警,Unique Alert Alarm,basic,warning,特色警戒报警消息
1100,LINE_CROSSING,单绊线越界,Line Crossing,vca,warning,单绊线越界检测
1101,DOUBLE_LINE_CROSSING,双绊线越界,Double Line Crossing,vca,warning,双绊线越界检测
1102,PERIMETER_INTRUSION,周界入侵,Perimeter Intrusion,vca,warning,周界/区域入侵检测
1103,LOITERING,徘徊检测,Loitering,vca,warning,人员徘徊检测
1104,PARKING_DETECTION,停车检测,Parking Detection,vca,warning,违规停车检测
1105,RUNNING_DETECTION,快速奔跑,Running Detection,vca,warning,人员快速奔跑检测
1106,CROWD_DENSITY,区域人员密度,Crowd Density,vca,info,区域人员密度统计
1107,OBJECT_LEFT,物品遗弃,Object Left,vca,warning,物品遗留检测
1108,OBJECT_REMOVAL,物品遗失,Object Removal,vca,warning,物品被拿走/遗失检测
1109,FACE_RECOGNITION,人脸识别,Face Recognition,face,info,人脸检测与识别
1110,VIDEO_DIAGNOSIS,视频诊断,Video Diagnosis,vca,warning,画面异常诊断
1111,INTELLIGENT_TRACKING,智能跟踪,Intelligent Tracking,vca,info,目标自动跟踪
1112,TRAFFIC_STATISTICS,交通统计,Traffic Statistics,its,info,车流/人流量统计
1113,CROWD_GATHERING,人群聚集,Crowd Gathering,vca,warning,人群异常聚集检测
1114,ABSENCE_DETECTION,离岗检测,Absence Detection,vca,warning,岗位无人/离岗检测
1115,WATER_LEVEL_DETECTION,水位监测,Water Level Detection,vca,warning,水位监测
1116,AUDIO_DIAGNOSIS,音频诊断,Audio Diagnosis,vca,warning,声音异常检测
1117,BEHAVIOR_ANALYSIS,行为分析,Behavior Analysis,vca,warning,异常行为检测信息
1118,REGION_ENTRANCE,进入区域,Region Entrance,vca,warning,目标进入指定区域
1119,REGION_EXITING,离开区域,Region Exiting,vca,info,目标离开指定区域
1120,FALL_DETECTION,倒地检测,Fall Detection,vca,critical,人员倒地检测
1121,PLAYING_PHONE,玩手机,Playing Phone,vca,warning,玩手机检测
1122,FACE_MOSAIC,人脸遮挡,Face Mosaic,face,warning,人脸遮挡马赛克
1123,RIVER_CLEAN,河道漂浮物,River Clean,vca,warning,河道漂浮物检测
1124,DREDGE,盗采盗卸,Dredge,vca,warning,盗采盗卸检测
1125,ILLEGAL_PARKING,违章停车,Illegal Parking,its,warning,违章停车检测
1126,FIGHT,打架,Fight,vca,critical,打架行为检测
1127,PROTECT,警戒,Protect,vca,warning,警戒检测
1128,LICENSE_PLATE_RECOGNITION,车牌识别,License Plate Recognition,its,info,车牌识别
1129,HEAT_MAP,热度图,Heat Map,vca,info,热度图统计
1130,SEEPAGE,积水监测,Seepage,vca,warning,积水监测
1131,WINDOW_DETECTION,翻窗检测,Window Detection,vca,warning,翻窗检测
1132,ST_FACE_RECOGNITION,ST人脸识别,ST Face Recognition,face,info,ST人脸识别
1133,PARK_GUARD,车位看守,Park Guard,vca,warning,车位看守检测
1134,HELMET_DETECTION,安全帽检测,Helmet Detection,vca,warning,安全帽检测
1135,LINK_DOME_TRACK,联动球机跟踪,Link Dome Track,vca,info,鱼球联动跟踪
1136,SLUICEGATE,闸门检测,Sluicegate,vca,warning,闸门检测
1137,COLOR_TRACK,颜色跟踪,Color Track,vca,info,颜色跟踪算法
1138,FORMAT_TYPE,结构化算法,Format Type,vca,info,结构化算法
1139,SEDIMENT,积水深度,Sediment,vca,warning,积水深度检测
1140,ALERT_WATER,警戒水位检测,Alert Water,vca,warning,警戒水位检测
1141,SINGLE_INQUIRY,单人询问,Single Inquiry,vca,warning,单人询问/无人看管
1142,CLIMB_UP,攀高,Climb Up,vca,warning,攀高检测
1143,NET_DEPARTURE,新离岗,Net Departure,vca,warning,新离岗检测
1144,ABNORMAL_NUMBER,人数异常,Abnormal Number,vca,warning,人数异常检测
1145,GET_UP,人员起身,Get Up,vca,info,人员起身检测
1146,LEAVE_BED,离床,Leave Bed,vca,warning,离床检测
1147,STATIC_DETECTION,静止检测,Static Detection,vca,warning,静止检测
1148,SLEEP_POSITION,睡岗,Sleep Position,vca,warning,睡岗检测
1149,SLIP_UP,摔倒,Slip Up,vca,critical,摔倒检测
1150,NEW_FIGHT,新打架,New Fight,vca,critical,新打架检测
1151,BODY_TOUCH,肢体接触,Body Touch,vca,warning,肢体接触检测
1152,HUMAN_DETECT,人形检测,Human Detect,vca,info,人形检测
1153,DAM_ALARM,坝前堆积物检测,Dam Alarm,vca,warning,坝前堆积物检测
1154,NET_ALARM,站前拦网堆积物检测,Net Alarm,vca,warning,站前拦网堆积物检测
1155,VCA_PEPT,油田监控,VCA PEPT,vca,info,油田监控
1156,VCA_FLOWSPEED,水流速检测,VCA Flow Speed,vca,warning,水流速检测
1157,BEACON_SHIP,航标船,Beacon Ship,vca,info,航标船检测
1158,BRIGHT_KITCHEN,明厨亮灶,Bright Kitchen,vca,warning,明厨亮灶检测
1159,STRANDED,滞留,Stranded,vca,warning,滞留检测
1160,SINGLE_ALONE,单人独处,Single Alone,vca,warning,单人独处检测
1161,WINDOW_DELIVERY,隔窗递物,Window Delivery,vca,warning,隔窗递物检测
1162,SMOKE,吸烟,Smoke,vca,warning,吸烟检测
1163,WEAR_MASK,戴口罩,Wear Mask,vca,info,戴口罩检测
1164,NOT_WEAR_MASK,未戴口罩,Not Wear Mask,vca,warning,未戴口罩检测
1165,PHONE,打电话,Phone,vca,warning,打电话检测
